campaign,worker_count,version,backend,trial,process_ms,pipeline_ms,hash_work_ms,setup_sum_ms,gpu_hashes,gpu_peak,cold_start_cpu_sum,verified,binarysha
unified-w20,20,baseline,auto,2,729.6293000690639,668.847,6456.163,105.755,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,new,auto,2,895.782700041309,795.804,6548.727,2626.908,16,14,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,new,no-pgo,2,822.2027998417616,718.549,7188.064,1902.478,16,16,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,baseline,cpu,2,684.5883999485523,651.314,6971.858,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,new,cpu,2,613.9438999816775,581.668,6230.039,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,baseline,no-pgo,2,682.539900066331,614.09,7024.105,149.089,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,baseline,cpu,3,688.2365001365542,651.834,6454.903,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,new,no-pgo,3,1069.7055999189615,972.229,6703.078,3948.692,16,9,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,new,cpu,3,673.9427000284195,638.892,6595.861,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,new,auto,3,887.4152998905629,781.87,7264.992,1476.77,16,14,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,baseline,auto,3,771.3313000276685,704.53,6535.726,121.194,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,baseline,no-pgo,3,691.0137999802828,631.94,6530.899,132.91,2,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,baseline,auto,4,739.827600074932,682.827,6573.123,106.104,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,new,cpu,4,637.337899999693,588.581,6348.192,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,new,auto,4,991.9970999471843,894.379,6938.683,2905.525,16,14,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,baseline,no-pgo,4,791.0553999245167,731.579,6833.836,134.348,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w20,20,new,no-pgo,4,4341.610200004652,1182.664,6575.804,3894.21,16,13,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w20,20,baseline,cpu,4,731.7772000096738,698.289,6921.619,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,baseline,no-pgo,0,2144.0342999994755,2090.669,2266.012,119.392,7,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,new,no-pgo,0,2371.795400045812,2322.706,2178.086,83.891,16,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,new,cpu,0,2266.372400103137,2241.576,2182.275,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,baseline,cpu,0,2290.546099888161,2265.217,2193.051,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,baseline,auto,0,2141.8844000436366,2089.105,2334.585,129.467,8,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,new,auto,0,2443.128499900922,2394.05,2220.817,112.888,1,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,baseline,auto,1,2082.151899812743,2029.47,2231.413,83.652,10,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,baseline,cpu,1,2292.553799925372,2265.462,2203.722,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,new,cpu,1,2288.0893000401556,2262.071,2198.64,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,new,auto,1,2521.8795998953283,2462.699,2241.081,159.844,1,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,new,no-pgo,1,2467.4764999654144,2417.554,2255.725,100.074,16,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,baseline,no-pgo,1,2202.3686999455094,2148.812,2427.913,90.693,8,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,baseline,auto,2,2246.486600022763,2197.735,2455.319,99.181,9,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,new,auto,2,2459.4433000311255,2404.798,2251.902,89.403,1,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,new,no-pgo,2,2637.655300088227,2585.704,2420.323,100.356,16,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,baseline,cpu,2,2399.8633997980505,2376.747,2316.714,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,new,cpu,2,2517.8380999714136,2490.05,2421.691,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,baseline,no-pgo,2,2129.4805000070482,2077.882,2422.904,118.452,10,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,baseline,cpu,3,2414.7442001849413,2386.722,2325.507,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,new,no-pgo,3,2588.7978998944163,2537.309,2359.078,116.609,16,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,new,cpu,3,2434.346100082621,2404.438,2339.353,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,new,auto,3,2646.8138999771327,2599.035,2424.95,106.395,4,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,baseline,auto,3,2159.6828000620008,2109.688,2394.217,98.683,9,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,baseline,no-pgo,3,2246.9599000178277,2197.36,2480.875,104.661,7,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,baseline,auto,4,2178.081300109625,2127.775,2442.579,94.146,9,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,new,cpu,4,2371.7439000029117,2344.788,2283.706,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,new,auto,4,2460.5929001700133,2403.518,2225.707,116.541,9,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,baseline,no-pgo,4,2222.4153000861406,2173.628,2428.151,106.005,8,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w1,1,new,no-pgo,4,2539.5684000104666,2489.404,2346.072,84.246,16,1,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w1,1,baseline,cpu,4,2387.3546000104398,2363.572,2301.212,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,baseline,no-pgo,0,915.0932999327779,862.05,3491.905,112.868,4,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,new,no-pgo,0,979.3287999927998,918.251,3348.971,208.614,7,4,9,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,new,cpu,0,900.5879000760615,874.667,3377.645,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,baseline,cpu,0,869.8855000548065,840.294,3245.783,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,baseline,auto,0,898.4644000884145,839.59,3244.145,143.943,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,new,auto,0,974.1493999026716,913.312,3341.943,204.02,6,4,9,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,baseline,auto,1,1010.3734000585973,956.427,3765.588,123.208,2,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,baseline,cpu,1,900.4285999108106,873.241,3363.365,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,new,cpu,1,878.8341998588294,850.045,3297.905,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,new,auto,1,1005.0308001227677,942.124,3330.432,302.12600000000003,4,4,12,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,new,no-pgo,1,1081.6108998842537,1012.701,3720.457,219.646,10,4,6,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,baseline,no-pgo,1,1029.5258001424372,975.479,3886.888,120.934,3,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,baseline,auto,2,1045.390399871394,993.675,3813.802,145.816,2,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,new,auto,2,1056.3681998755783,990.966,3639.149,169.01500000000001,4,2,8,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,new,no-pgo,2,1042.7490000147372,976.452,3586.423,181.20999999999998,7,4,9,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,baseline,cpu,2,926.5403999015689,900.724,3483.579,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,new,cpu,2,951.5258001629263,920.94,3561.503,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,baseline,no-pgo,2,1001.509000081569,946.89,3718.413,200.557,3,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,baseline,cpu,3,889.3649999517947,863.776,3335.923,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,new,no-pgo,3,1012.1951999608427,942.545,3446.744,200.215,8,4,8,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,new,cpu,3,926.2520000338554,900.684,3498.078,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,new,auto,3,1061.4568998571485,1000.239,3596.573,245.49399999999997,6,4,9,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,baseline,auto,3,1013.9692001976073,960.929,3850.497,114.844,3,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,baseline,no-pgo,3,979.2915999423712,923.219,3614.325,140.437,2,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,baseline,auto,4,1029.6010000165552,973.241,3816.423,152.803,2,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,new,cpu,4,965.01459996216,936.492,3634.281,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,new,auto,4,1011.4362000022084,942.807,3419.39,248.987,6,4,9,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,baseline,no-pgo,4,1015.3509001247585,959.323,3823.14,120.99,4,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w4,4,new,no-pgo,4,980.1442997995764,914.61,3363.084,192.043,7,4,9,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w4,4,baseline,cpu,4,957.3927000164986,927.253,3589.776,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w20,20,baseline,no-pgo,0,889.4435002002865,797.128,7119.518,188.812,1,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-final-w20,20,new,no-pgo,0,828.462400007993,762.94,7955.029,249.327,1,1,15,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w20,20,new,cpu,0,678.724099881947,641.883,7283.461,0.0,0,0,0,True,972bc2467c49ce3738023e2f9818b12f7d923e0b596de5b145fd0345f1c7b3c4
unified-final-w20,20,baseline,cpu,0,699.0306999068707,661.449,6903.594,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
