stage,workload,workers,block_mib,trial,warmup,arm,phase,process_ms,verified,hashed,cached,read_bytes,cpu_hashes,gpu_hashes,gpu_setup_ms,calibration_ms,pgo_enabled,pgo_samples,pgo_exploration_jobs,gpu_overflow_jobs,cpu_spill_jobs
prototype,tex-like,20,64,0,False,new-auto,fresh,4463.221800047904,True,20001,0,102093184,20000,1,360.381,146.391,1,304,0,0,0
prototype,tex-like,20,64,0,False,new-auto,cache,1046.1562999989837,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,1,False,new-cpu,fresh,4243.320900015533,True,20001,0,102093184,20001,0,0.0,0.0,1,302,0,0,0
prototype,tex-like,20,64,1,False,new-cpu,cache,1095.8941001445055,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,1,False,baseline-auto,fresh,4980.080500012264,True,20001,0,102093184,20000,1,807.195,596.561,,,,0,0
prototype,tex-like,20,64,1,False,baseline-auto,cache,1120.6012000329792,True,0,20001,0,0,0,0.0,0.0,,,,0,0
prototype,tex-like,20,64,1,False,new-auto,fresh,4518.60690000467,True,20001,0,102093184,20000,1,399.509,154.077,1,303,0,0,0
prototype,tex-like,20,64,1,False,new-auto,cache,1079.4503001961857,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,1,False,new-no-pgo,fresh,4323.789200047031,True,20001,0,102093184,20000,1,145.622,0.0,0,0,0,0,0
prototype,tex-like,20,64,1,False,new-no-pgo,cache,1058.7936001829803,True,0,20001,0,0,0,0.0,0.0,0,0,0,0,0
prototype,tex-like,20,64,2,False,new-no-pgo,fresh,4408.760400023311,True,20001,0,102093184,20000,1,168.136,0.0,0,0,0,0,0
prototype,tex-like,20,64,2,False,new-no-pgo,cache,1078.242699848488,True,0,20001,0,0,0,0.0,0.0,0,0,0,0,0
prototype,tex-like,20,64,2,False,baseline-auto,fresh,5025.47309990041,True,20001,0,102093184,20000,1,838.34,580.543,,,,0,0
prototype,tex-like,20,64,2,False,baseline-auto,cache,1065.0218999944627,True,0,20001,0,0,0,0.0,0.0,,,,0,0
prototype,tex-like,20,64,2,False,new-cpu,fresh,4340.134399943054,True,20001,0,102093184,20001,0,0.0,0.0,1,304,0,0,0
prototype,tex-like,20,64,2,False,new-cpu,cache,1089.0599999111146,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,2,False,new-auto,fresh,4509.179099928588,True,20001,0,102093184,20000,1,363.796,141.048,1,304,0,0,0
prototype,tex-like,20,64,2,False,new-auto,cache,1101.1924999766052,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,3,False,baseline-auto,fresh,4990.66529981792,True,20001,0,102093184,20000,1,750.909,555.128,,,,0,0
prototype,tex-like,20,64,3,False,baseline-auto,cache,1072.8007000871003,True,0,20001,0,0,0,0.0,0.0,,,,0,0
prototype,tex-like,20,64,3,False,new-no-pgo,fresh,4403.355000074953,True,20001,0,102093184,20000,1,244.512,0.0,0,0,0,0,0
prototype,tex-like,20,64,3,False,new-no-pgo,cache,1072.8384999092668,True,0,20001,0,0,0,0.0,0.0,0,0,0,0,0
prototype,tex-like,20,64,3,False,new-cpu,fresh,4302.984799956903,True,20001,0,102093184,20001,0,0.0,0.0,1,305,0,0,0
prototype,tex-like,20,64,3,False,new-cpu,cache,1089.1390999313444,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,3,False,new-auto,fresh,4504.161800025031,True,20001,0,102093184,20000,1,378.31,142.603,1,304,0,0,0
prototype,tex-like,20,64,3,False,new-auto,cache,1130.0723999738693,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,4,False,new-no-pgo,fresh,4405.225600115955,True,20001,0,102093184,20000,1,189.196,0.0,0,0,0,0,0
prototype,tex-like,20,64,4,False,new-no-pgo,cache,1132.8578998800367,True,0,20001,0,0,0,0.0,0.0,0,0,0,0,0
prototype,tex-like,20,64,4,False,new-cpu,fresh,4366.70930008404,True,20001,0,102093184,20001,0,0.0,0.0,1,303,0,0,0
prototype,tex-like,20,64,4,False,new-cpu,cache,1226.1232000309974,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,4,False,baseline-auto,fresh,5066.17460004054,True,20001,0,102093184,20000,1,798.396,610.977,,,,0,0
prototype,tex-like,20,64,4,False,baseline-auto,cache,1074.066000059247,True,0,20001,0,0,0,0.0,0.0,,,,0,0
prototype,tex-like,20,64,4,False,new-auto,fresh,4590.191999915987,True,20001,0,102093184,20000,1,358.456,138.739,1,304,0,0,0
prototype,tex-like,20,64,4,False,new-auto,cache,1074.3718000594527,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,5,False,baseline-auto,fresh,4995.344300055876,True,20001,0,102093184,20000,1,760.429,567.872,,,,0,0
prototype,tex-like,20,64,5,False,baseline-auto,cache,1050.7151000201702,True,0,20001,0,0,0,0.0,0.0,,,,0,0
prototype,tex-like,20,64,5,False,new-no-pgo,fresh,4729.353599948809,True,20001,0,102093184,20000,1,180.156,0.0,0,0,0,0,0
prototype,tex-like,20,64,5,False,new-no-pgo,cache,1063.120000064373,True,0,20001,0,0,0,0.0,0.0,0,0,0,0,0
prototype,tex-like,20,64,5,False,new-auto,fresh,4469.74639990367,True,20001,0,102093184,20000,1,497.884,162.04,1,302,0,0,0
prototype,tex-like,20,64,5,False,new-auto,cache,1039.476899895817,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,5,False,new-cpu,fresh,4430.514599895105,True,20001,0,102093184,20001,0,0.0,0.0,1,303,0,0,0
prototype,tex-like,20,64,5,False,new-cpu,cache,1084.5548000652343,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,6,False,new-no-pgo,fresh,4473.736800020561,True,20001,0,102093184,20000,1,262.497,0.0,0,0,0,0,0
prototype,tex-like,20,64,6,False,new-no-pgo,cache,1004.9969998653978,True,0,20001,0,0,0,0.0,0.0,0,0,0,0,0
prototype,tex-like,20,64,6,False,new-auto,fresh,4695.414199959487,True,20001,0,102093184,20000,1,350.945,151.703,1,304,0,0,0
prototype,tex-like,20,64,6,False,new-auto,cache,1077.7107998728752,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,6,False,new-cpu,fresh,4423.909900011495,True,20001,0,102093184,20001,0,0.0,0.0,1,304,0,0,0
prototype,tex-like,20,64,6,False,new-cpu,cache,1102.5517999660224,True,0,20001,0,0,0,0.0,0.0,1,0,0,0,0
prototype,tex-like,20,64,6,False,baseline-auto,fresh,5311.338399769738,True,20001,0,102093184,20000,1,794.458,568.212,,,,0,0
prototype,tex-like,20,64,6,False,baseline-auto,cache,1042.0775001402944,True,0,20001,0,0,0,0.0,0.0,,,,0,0
real-learning,small,4,1,-1,True,new-no-pgo,fresh,1467.1360000502318,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,-1,True,new-no-pgo,cache,526.2711001560092,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,-1,True,new-cpu,fresh,1461.0033999197185,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
real-learning,small,4,1,-1,True,new-cpu,cache,517.695700051263,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,-1,True,baseline-auto,fresh,1469.6613000705838,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
real-learning,small,4,1,-1,True,baseline-auto,cache,537.5437999609858,True,0,20000,0,0,0,0.0,0.0,,,,0,0
real-learning,small,4,1,-1,True,new-auto,fresh,1430.6395999155939,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,-1,True,new-auto,cache,595.9352999925613,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,0,False,new-no-pgo,fresh,1488.4741001296788,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,0,False,new-no-pgo,cache,512.4735001008958,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,0,False,new-cpu,fresh,1419.0791000146419,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
real-learning,small,4,1,0,False,new-cpu,cache,553.9486000780016,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,0,False,baseline-auto,fresh,1444.3584000691772,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
real-learning,small,4,1,0,False,baseline-auto,cache,497.9851001407951,True,0,20000,0,0,0,0.0,0.0,,,,0,0
real-learning,small,4,1,0,False,new-auto,fresh,1423.090900061652,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,0,False,new-auto,cache,492.77369980700314,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
